id;title;description;host_id;online_location;physical_location;created_by;created_at;duration_minutes;recurrence;timezone
cd915830-bf56-4dc4-8dcc-cc68c03fe0a9;Health Insurance 101 & Introduction to Script;Master the foundation of private health insurance from the ground up. Learn how health insurance actually works, how to properly educate clients, break down deductibles, networks, underwriting, and position our health plans with confidence. This training is designed to help new agents  understand everything health with an introduction into scripting.;99e82a00-df9d-4962-90d5-146c76e3b9e0;aftermathinsurancetraining.com;5520 W idlewild Ave tampa Fl;99e82a00-df9d-4962-90d5-146c76e3b9e0;2026-05-29 23:39:21.281987+00;120;"{""endDate"":""2027-06-01"",""intervalWeeks"":2,""sessions"":[{""dayOfWeek"":1,""time"":""09:00""}],""startDate"":""2026-06-01""}";America/New_York
ecb340bd-7907-4a17-abb1-699ec0880fd3;Harley Capolupo | Psychology of Sales & Presentation;Learn the psychology behind why people buy, trust, and take action. Master tonality, emotional connection, controlling the conversation, overcoming objections, and delivering a powerful presentation that creates urgency and closes deals naturally without sounding pushy or scripted.;99e82a00-df9d-4962-90d5-146c76e3b9e0;aftermathinsurancetraining.com;5520 W Idlewild Tampa Fl;99e82a00-df9d-4962-90d5-146c76e3b9e0;2026-05-29 23:44:20.730879+00;120;"{""endDate"":""2028-06-03"",""intervalWeeks"":2,""sessions"":[{""dayOfWeek"":3,""time"":""09:00""}],""startDate"":""2026-06-03""}";America/New_York
3e482952-abb9-493d-99a3-20e7fcc86941;James Tello | Intro to Allstate, Underwriting & Pre-Qualifying;Learn how to properly pre-qualify clients, understand underwriting guidelines, avoid common mistakes, and confidently position Allstate products the right way. This training teaches agents how to identify strong prospects, ask the right questions, increase approval rates, and build trust while creating smoother, more successful enrollments.;99e82a00-df9d-4962-90d5-146c76e3b9e0;Aftermathinsurancetraining.com;5520  W Idlewild Tampa fl;99e82a00-df9d-4962-90d5-146c76e3b9e0;2026-05-29 23:48:48.178393+00;120;"{""endDate"":""2028-06-02"",""intervalWeeks"":2,""sessions"":[{""dayOfWeek"":2,""time"":""09:00""}],""startDate"":""2026-06-02""}";America/New_York
226cb60b-5f31-4555-a214-e9ca320cc838;Harley Capolupo | Objections & Closing Techniques;Master the psychology behind handling objections and confidently closing more deals. Learn proven rebuttals, tonality, tie-downs, and one-call-close strategies used by top producers to turn hesitation into commitment.;99e82a00-df9d-4962-90d5-146c76e3b9e0;aftermathinsurancetraining.com;5520 w idle wild tampa fl ;99e82a00-df9d-4962-90d5-146c76e3b9e0;2026-05-31 15:39:40.938139+00;60;"{""endDate"":""2028-06-01"",""intervalWeeks"":2,""sessions"":[{""dayOfWeek"":1,""time"":""09:00""}],""startDate"":""2026-06-01""}";America/New_York
b880787b-abe0-4996-ba97-256513cd3b89;Cross Selling Life Insurance;Learn how to seamlessly transition from health insurance conversations into life insurance opportunities without sounding pushy or scripted. This training covers simple fact-finding strategies, emotional positioning, income protection conversations, and real-world cross-selling techniques that help agents increase revenue while delivering more complete protection for clients and their families.;99e82a00-df9d-4962-90d5-146c76e3b9e0;aftermathinsurancetraining.com;5520 W Idlewild AveTampa, FL 33634;99e82a00-df9d-4962-90d5-146c76e3b9e0;2026-05-31 22:16:58.200201+00;60;"{""endDate"":""2028-06-04"",""intervalWeeks"":2,""sessions"":[{""dayOfWeek"":4,""time"":""09:00""}],""startDate"":""2026-06-04""}";America/New_York
e00817e6-5ca5-4105-80ac-abd946afa4e0;Full application and Post Close Techniques and Underwriting;Master the full enrollment process after the sale, including applications, underwriting flow, required documents, payment collection, and setting proper client expectations. Learn how to avoid common mistakes, improve approval rates, reduce chargebacks, and create a smoother client experience from close to issue.;99e82a00-df9d-4962-90d5-146c76e3b9e0;;;99e82a00-df9d-4962-90d5-146c76e3b9e0;2026-05-31 22:35:53.398895+00;60;"{""endDate"":""2028-06-04"",""intervalWeeks"":2,""sessions"":[{""dayOfWeek"":4,""time"":""09:00""}],""startDate"":""2026-06-04""}";America/New_York
1bdd87c7-3ac8-49a1-ad14-f8673d6b1217;Hot Seat: One Call Close;Live call breakdowns and real-time coaching focused on mastering the one-call close. Learn how top agents control conversations, build urgency, overcome objections, and close deals on the first call with confidence and precision;99e82a00-df9d-4962-90d5-146c76e3b9e0;aftermathinsurancetraining.com;5520 w Idlewild tampa fl;99e82a00-df9d-4962-90d5-146c76e3b9e0;2026-05-31 18:51:54.321839+00;60;"{""endDate"":""2028-06-02"",""intervalWeeks"":2,""sessions"":[{""dayOfWeek"":2,""time"":""09:00""}],""startDate"":""2026-06-02""}";America/New_York
